Name,Ortnr/Stationsnr,Latitude,Longitude,Elevation,Time zone,Dry bulb min winter,Dry bulb max winter,Wet bulb max winter,Wind direction winter,Wind speed winter,Dry bulb min summer,Dry bulb max summer,Wet bulb max summer,Wind direction summer,Wind speed summer,Country,Source,Design data file,Type,
Trollhättan,102212,58.28,12.3,Nan,1,-14.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Trosa,102415,58.9,17.56,Nan,1,-14.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tyresö,102611,59.25,18.28,Nan,1,-14.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Täby,102629,59.45,18.09,Nan,1,-16.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tännäs,102819,62.45,12.67,Nan,1,-27.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Tärnsjö,102618,60.16,16.92,Nan,1,-19.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Töreboda,102239,58.72,14.13,Nan,1,-15.7,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Uddevalla,102210,58.35,11.8,Nan,1,-13.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Ullared,102231,57.11,12.78,Nan,1,-14.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Ulricehamn,102207,57.8,13.41,Nan,1,-16,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Umeå,102905,63.83,20.26,Nan,1,-23.5,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Upplands-Bro,102607,59.52,17.64,Nan,1,-17.4,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Upplands-Väsby,102639,59.52,17.92,Nan,1,-17.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Uppsala,102617,59.84,17.64,Nan,1,-18.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Vadstena,102418,58.45,14.9,Nan,1,-16.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Vaggeryd,102319,57.5,14.14,Nan,1,-16.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
Valdermarsvik,102405,58.21,16.6,Nan,1,-14.3,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Sweden,SMHI,FALSE,Unknown,
